experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,success_rate
baseline,best_policy_seed_42.pth,best,42,100000,1000,0,0.0
baseline,best_policy_seed_43.pth,best,43,100000,1000,0,0.0
baseline,best_policy_seed_44.pth,best,44,100000,1000,0,0.0
baseline,best_policy_seed_45.pth,best,45,100000,1000,0,0.0
baseline,best_policy_seed_46.pth,best,46,100000,1000,0,0.0
baseline,best_policy_seed_47.pth,best,47,100000,1000,0,0.0
baseline,best_policy_seed_48.pth,best,48,100000,1000,0,0.0
baseline,best_policy_seed_49.pth,best,49,100000,1000,0,0.0
baseline,best_policy_seed_50.pth,best,50,100000,1000,0,0.0
baseline,best_policy_seed_51.pth,best,51,100000,1000,0,0.0
baseline,last_policy_seed_42.pth,last,42,100000,1000,0,0.0
baseline,last_policy_seed_43.pth,last,43,100000,1000,0,0.0
baseline,last_policy_seed_44.pth,last,44,100000,1000,0,0.0
baseline,last_policy_seed_45.pth,last,45,100000,1000,0,0.0
baseline,last_policy_seed_46.pth,last,46,100000,1000,0,0.0
baseline,last_policy_seed_47.pth,last,47,100000,1000,0,0.0
baseline,last_policy_seed_48.pth,last,48,100000,1000,0,0.0
baseline,last_policy_seed_49.pth,last,49,100000,1000,0,0.0
baseline,last_policy_seed_50.pth,last,50,100000,1000,0,0.0
baseline,last_policy_seed_51.pth,last,51,100000,1000,0,0.0
